Kód,Název,Popis,Určuje,Subjekty,Skupina,Předpisy,Verze,Aktualizace,Status,Agendy
"P101","Zajistit přístupnost internetových stránek","Povinný subjekt zajistí přístupnost svých internetových stránek, včetně všech rozhraní spadajících pod stránky a jejich obsahu.","§ 5 zákona 99/2019","[""Subjekty veřejného sektoru""]","Povinnosti k přístupnosti","[""Zákon 99/2019""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P102","Zajistit přístupnost mobilních aplikací","Povinný subjekt zajišťuje přístupnost svých mobilních aplikací a obsahu.","§ 6 zákona 99/2019","[""Subjekty veřejného sektoru""]","Povinnosti k přístupnosti","[""Zákon 99/2019""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P103","U nepřístupného obsahu podle institutu nepřiměřené zátěže zajistit náhradní způsob","Využije-li povinný subjekt institut nepřiměřené zátěže pro vybraný obsah internetových stránek či mobilních aplikací, zajistí sdělení informací náhradním způsobem.","§ 7 odst 4 zákona 99/2019","[""Subjekty veřejného sektoru""]","Povinnosti k přístupnosti","[""Zákon 99/2019""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P104","Vytvořit Prohlášení o přístupnosti","Každý povinný subjekt podle zákona 99/2019 musí mít také prohlášení o přístupnosti. Prohlášení o přístupnosti se týká jak webových stránek tak i mobilních aplikací. Musí obsahovat náležitosti podle § 8, odst. 1, zákona.","§ 8 zákona 99/2019","[""Subjekty veřejného sektoru""]","Povinnosti k přístupnosti","[""Zákon 99/2019""]","2","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P105","Kontrolovat dodržování plnění povinností přístupnosti","DIA mimo jiné kontroluje dodržování povinností podle zákona 99/2019.","§ 10 písm. a) a § 11 zákona 99/2019","[""Digitální a informační agentura""]","Povinnosti k přístupnosti","[""Zákon 99/2019""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P106","Zpracovat a předložit EK a zveřejnit zprávu o přístupnosti","DIA zpracovává a podává Evropské komisi každé 3 roky za podmínek stanovených v prováděcím aktu podle čl. 8 odst. 6 směrnice Evropského parlamentu a Rady (EU) 2016/2102 zprávu o výsledku sledování přístupnosti internetových stránek a mobilních aplikací podle § 10 písm. b). DIA zveřejní zprávu na svých internetových stránkách.","§ 12 zákona 99/2019","[""Digitální a informační agentura""]","Povinnosti k přístupnosti","[""Zákon 99/2019""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P202","Vedení znalostní báze k informačním činnostem a informačním systémům","Digitální a informační agentura ve spolupráci s orgány veřejné správy vyhledává, zpracovává, ukládá a vytváří nové informace, které jsou znalostní základnou pro kvalitní vytváření a rozvoj informačních systémů veřejné správy","§ 4 odst. 1 písm a) zákona 365/2000","[""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P206","Vydávání stanovisek OHA k ISVS/UIS","Digitální a informační agentura se vyjadřuje k návrhům dokumentací programů obsahujících pořízení nebo architektonické změny určených informačních systémů vypracovaných podle zvláštního právního předpisu7a); Agentura přitom přihlíží zejména k oprávněným zájmům předkladatele dokumentace programu, architektuře určených informačních systémů, technickému, ekonomickému a projektovému hledisku, práci s daty, uživatelskému zážitku a k potřebám zajištění řádného výkonu veřejné správy","§ 4 odst. 1 písm b) a odst. 2 písm b) a g) a h) zákona 365/2000","[""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P207","Tvorba a zajištění metodických pokynů k informačním činnostem a ISVS/UIS","Digitální a informační agentura zajišťuje tvorbu metodických pokynů pro výkon odborných činností spojených s vytvářením, správou, provozem, užíváním a rozvojem informačních systémů veřejné správy;","§ 4 odst. 1 písm. c) zákona 365/2000","[""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
"P208","Koordinace a vytváření podmínek k informačním činnostem prostřednictvím veřejných IS","Digitální a informační agentura ve spolupráci s orgány veřejné správy koordinuje a vytváří podmínky pro činnost veřejné správy prostřednictvím veřejně přístupných informačních systémů veřejné správy, včetně dálkového přístupu","§ 4 odst. 1 písm. g) zákona 365/2000","[""(doplnit)"",""Digitální a informační agentura""]","Povinnosti k ISVS","[""Zákon 365/2000""]","3","07.04.2023 0:00","Platné","[""(doplnit)""]"
